점검시행일자,점검종료일자,점검진단결과등급,점검진단결과내용,손상요약내용,조치요약내용,긴급보수도,붕괴유발부재여부,시설물명,안전성평가등급,,
2001-11-19,2001-11-19,B,전반적으로양호,"소화기등 절등상태불량,조명등불량",외관조사,B,N,봉안터널(하),A,,
2002-03-18,2002-03-18,B,전반적으로양호하나 일부미세균열발생,미세균열발생,"외관조사,하자보수요청예정",B,N,봉안터널(하),A,,
2004-06-30,2004-06-30,B,2004년 보수,신축이음후타재보수8개소,,B,N,대광교*,A,,
2004-10-14,2004-10-14,C,,,,A,N,조안IC교,A,,
2004-10-14,2004-10-14,B,,,,A,N,신흥육교,A,,
2004-10-14,2004-10-14,B,,,,A,N,대흥1육교,A,,
2004-10-14,2004-10-14,B,,,,A,N,어유1교,A,,
2004-10-14,2004-10-14,B,,,,B,N,미약교,A,,
2004-10-14,2004-10-14,C,,,,A,N,도곡육교,A,,
2004-10-14,2004-10-14,B,,,,A,N,교동IC교,A,,
2004-10-14,2004-10-14,B,,,,A,N,운천3교,A,,
2004-10-14,2004-10-14,B,,,,A,N,운천4교,A,,
2004-10-14,2004-10-14,B,,,,X,N,금곡교,A,,
2005-06-24,2005-06-24,B,구조상으로 문제는 없으나 일부 보수요망,"주형하면의 백화및 철근노출, 철근부식이 발생, slab하면의 망상균열및 초기열화, 백화 발생","철근노출부위 철근노출보수공법으로 보수요망되며, 그외 손상들도 적절한 보수요망",B,N,사랑교,A,,
2005-04-15,2005-12-31,B,교량전체 평균은 0.163으로서 산정기준에 의해 대상교량의 상태등급은 B등급에 해당되는 것으로 조사되었,"접속슬래브 포장보수부, 신축이음 후타재 경계부 단차, 연석부 내측면 콘크리트 박락 및 철근노출등",적정한 보수 및 계획적이고 정기적인 점검과 유지관리가 수반된다면 안전성및내구성 확보,B,N,도대리교,A,,
2005-09-27,2005-09-27,C,설계하중 이상 확보,"기존구간 교면방수층파손,교각 건조수축에 의한 균열","기존구간 교면 재방수필요,교각 균열은 표면처리및 주입보수요망",C,N,장흥교(확),A,,
2005-09-27,2005-09-27,C,설계하중 이상 확보.,"신축이음유간부 토사및아스콘등 이물질퇴적,주형거더하면과양외측거더측면부 누수로 부식심함,","주기적청소요망,주형거더하면과 외측거더측면부 재도장요망",B,N,장흥철도육교*,A,,
2005-10-05,2005-10-05,B,대체로양호,"강재주형 도장탈락 및 부식, 하부구조(교대,교각) 균열",주의관찰,B,N,초성교,A,,
2005-10-05,2005-10-05,B,비교적 양호한 상태임,"연석부 재료분리, 포장면 일부균열",주의관찰,B,N,한탄교,A,,
2005-10-05,2005-10-05,B,대체로 양호하나 일부손상에 대한 주기적인 관찰 필요,"도장박리, 바닥판균열",주의관찰,B,N,연천대교,A,,
2005-10-05,2005-10-05,B,전반적으로 양호,"난간 미세균열 발생, 교대 종균열 발생",,B,N,신탄교(확),A,,
2005-06-14,2005-06-14,B,대체로 양호,,,C,N,반계교*,A,,
2005-06-15,2005-06-15,A,양호,,,A,N,육교1,A,,
2005-11-07,2005-11-07,C,양호,,,A,N,신원육교,A,,
2005-11-09,2005-11-09,B,양호,교면포장 파손 및 포트홀 발생,,C,N,추자육교,A,,
2005-11-09,2005-11-09,B,양호,,,B,N,번천2교,A,,
2005-06-23,2005-06-23,A,양호,,,A,N,눌노교*,A,,
2006-02-21,2006-02-21,B,전반적으로 양호,,,B,N,팔당교,A,,
2006-02-21,2006-02-21,B,전반적으로 양호,,교대교각 균열 보수완료,B,N,봉안대교(상),A,,
2006-02-21,2006-02-21,A,양호,,,A,N,조안램프교,A,,
2006-06-19,2006-06-19,B,대체로 양호,P21 후타재 파손,2006 보수예정,A,N,안성천2교,A,,
2006-06-19,2006-06-19,B,대체로 양호,,,A,N,모산고가차도,A,,
2006-06-19,2006-06-19,B,대체로 양호,,,A,N,중마교,A,,
2006-06-22,2006-06-22,B,대체로 양호,,,A,N,오천교,A,,
2006-06-22,2006-06-22,A,양호,,,C,N,오천교차1교,A,,
2006-06-22,2006-06-22,A,양호,,,C,N,도드람교차교,A,,
2006-06-29,2006-06-29,B,주의관찰,접속슬라브 포장균열 발생,,A,N,군자교,A,,
2006-03-27,2006-03-27,B,예산확보후 조치예정,"연석부 박리, 종조인트 후타재 파손",,B,N,신진군교,A,,
2006-03-27,2006-03-27,B,대체로 양호,날개벽 보수완료(05년),,A,N,양원교,A,,
2006-03-27,2006-03-27,B,대체로 양호,,,B,N,어유1교,A,,
2006-06-29,2006-06-29,B,대체로 양호,,,B,N,청안내교,A,,
2006-03-27,2006-03-27,A,양호,,,A,N,마지1교*,A,,
2006-03-27,2006-03-27,B,전반적으로 양호,,,C,N,온골지하차도,A,,
2006-03-27,2006-03-27,A,전반적으로 양호,전반적으로 양호함,,C,N,은대육교,A,,
2006-03-27,2006-03-27,B,주의 관찰,"난간 미세균열 발생, 교대 종균열 발생",,B,N,신탄교(확),A,,
2006-03-07,2006-03-07,B,대체로 양호,,,A,N,복장교,A,,
2006-02-22,2006-02-22,B,전반적으로 양호,조도 기준 미달,예산확보 후 조치,C,N,팔당2터널(하),A,,
2006-06-19,2006-06-19,B,전반적으로 양호,"라이닝균열,측벽균열,접속옹벽균열,조명램프 소멸","미세균열보수공,수지주입,램프교체",C,N,팔당3터널(상),A,,
2006-06-19,2006-06-19,B,전반적으로 양호,"라이닝균열및백태,갱구부대리석파손,접속옹벽균열,조명램프소멸,통신관로 콘크리트파손","미세균열보수공,수지주입,램프교체,박리박락보수공,유지관리,대리석교체",B,N,팔당4터널(하),A,,
2006-06-19,2006-06-19,A,양호,,,A,N,양수IC교,A,,
2006-06-20,2006-06-20,A,양호,,,A,N,신원교,A,,
2006-06-19,2006-06-19,B,외관상 양호,,주의관찰,B,N,목동교,A,,
2006-06-19,2006-06-19,A,외관상 양호,,,C,N,제령교,A,,
2006-02-27,2006-02-27,B,전반적으로 양호,양호,,A,N,삼성교(상),A,,
2006-03-08,2006-03-08,C,교량 개축중,,,C,N,마전교(확),A,,
2006-02-27,2006-02-27,B,전반적으로 양호,"슈 재도장 16개소, 후타재보수 10m",주의관찰,A,N,청운교,A,,
2006-02-28,2006-02-28,B,전반적으로 양호,교대 미세 종균열 발생,주의 관찰,B,N,신내교,A,,
2006-06-23,2006-06-23,A,양호,교면 포트홀 발생,주의 관찰,A,N,다대육교,A,,
2006-03-08,2006-03-08,A,외관상 양호,,,A,N,삼천리교,A,,
2006-06-23,2006-06-23,A,양호,종횡Joint 누수,주의 관찰,A,N,다대교(상),A,,
2006-02-23,2006-02-23,A,양호,교명판 탈락,하반기 보수예정,A,N,아신교,A,,
2006-02-23,2006-02-23,A,양호,,,A,N,덕평육교,A,,
2006-06-21,2006-06-21,A,양호,,,A,N,백석육교,A,,
2006-06-19,2006-06-19,C,교량개축중,,교량개축중,C,N,마장교,A,,
2006-06-21,2006-06-21,B,대체로 양호,교면포장 불량,예산확보후 조치,B,N,용문교,A,,
2006-06-21,2006-06-21,A,양호,교면포트홀 발생,주의관찰,A,N,마룡IC교,A,,
2006-06-22,2006-06-22,A,양호,,,A,N,천안2교,A,,
2006-06-22,2006-06-22,B,전반적으로 양호,,,B,N,회곡교,A,,
2006-06-23,2006-06-23,B,전반적으로 양호,,,B,N,양근교,A,,
2006-06-21,2006-06-21,B,주의관찰,"전반적으로 양호한 상태이나 바닥판 0.2mm미만의 다수 망상균열 발생, 주의관찰 요망",주의관찰,B,N,도대리상교,A,,
2006-03-14,2006-03-14,B,대체로 양호,,,A,N,대성교,A,,
2006-06-19,2006-06-19,B,대체로 양호,"바닥판,PSC거더 국부적 균열발생 난간연석부식(가평측) A=8.0m2/8개소 배수관 막힘",보수예정,A,N,1대성교,A,,
2006-06-19,2006-06-19,B,대체로 양호,교각국부적 구체 균열발생,주의관찰,A,N,하감교,A,,
2006-06-19,2006-06-19,B,대체로 양호,교면파손 A=4.5m2 (1*1.5*3EA),보수예정,A,N,가평육교,A,,
2006-03-08,2006-03-08,C,외관상 양호,,,C,N,중리2교,A,,
2006-06-19,2006-06-19,B,주의관찰,,보수 및 하자보수 요청,B,N,도대리교,A,,
2006-06-19,2006-06-19,A,외관상 양호,,,A,N,1금남교,A,,
2004-11-13,2004-11-13,B,양호,양호,,C,N,팔당1터널(상),A,,
2003-04-19,2003-04-19,A,양호,,,B,N,자등교,A,,
1999-06-19,1999-06-19,A,양호,양호,,C,N,팔당2터널(상),A,,
2001-12-08,2001-12-08,B,양호,소화등 절등상태 불량 및 조명등 불량,,C,N,팔당3터널(상),A,,
2002-04-19,2002-04-19,B,하자보수 요청예정,미세균열발생,,B,N,봉안터널(상),A,,
2003-06-25,2003-06-25,C,,,,A,N,조안IC교,A,,
2003-06-25,2003-06-25,B,,,,A,N,교동IC교,A,,
2004-10-14,2004-10-14,B,,,,A,N,가평육교,A,,
2004-10-14,2004-10-14,B,,,,C,N,조안철도육교,A,,
2004-10-14,2004-10-14,C,,,,A,N,양수IC교,A,,
2004-10-14,2004-10-14,B,,,,A,N,마진교,A,,
2005-06-16,2005-06-16,B,대체로 양호,,,C,N,구운교,A,,
2005-06-17,2005-06-17,B,대체로 양호,,,A,N,1대성교,A,,
2004-10-14,2004-10-14,B,,,,A,N,신진군교,A,,
2004-10-14,2004-10-14,B,,,,A,N,경강교(신),A,,
2004-10-14,2004-10-14,B,,,,A,N,통일고가교,A,,
2004-10-14,2004-10-14,B,,,,X,N,용문교,A,,
2004-10-14,2004-10-14,B,,,,A,N,봉상1교,A,,
2004-10-14,2004-10-14,B,,,,A,N,단월교,A,,
2005-06-18,2005-06-18,B,대체로 양호,,,B,N,삼팔교,A,,
2005-10-05,2005-10-05,A,,,,A,N,2금남교,A,,
2005-10-05,2005-10-05,A,양호,,,A,N,마진교,A,,
2005-06-14,2005-06-14,C,,,,C,N,기산교*,A,,
2005-10-04,2005-10-04,C,"교량받침녹발생p1,a1,a2 미세균열 s2부분손상",,,C,N,등원교,A,,
2005-10-04,2005-10-04,B,대체로 양호,,,A,N,봉암교,A,,
2005-10-04,2005-10-04,B,양호,,,C,N,마정1교,A,,
2005-10-04,2005-10-04,A,양호,,,A,N,군량교,A,,
2005-10-04,2005-10-04,B,양호,,,D,N,장단1교(상),A,,
2005-10-05,2005-10-05,B,"보조부재에 경미한 결함이발생하였으나 기능발휘에는 지장없으며,내구성증진을 위하여 일부분 보수가필요함","Steel Box Girder 외부 표면 부식부분, 신축이음 진동.소음발생, 배수구 막힘 1개소","Steel Box Girder 외부 표면 부식-유지관찰, 신축이음-신축이음교체, 배수구 막힘-배수구 청소",B,N,청학교,A,,
2005-10-06,2005-10-06,B,육안상 전반적으로 양호,,,C,N,포천2교,A,,
2005-10-06,2005-10-06,B,대체로 양호,,,A,N,금주교,A,,
2005-10-06,2005-10-06,B,대체로 양호,,,A,N,만세교(신),A,,
2005-10-06,2005-10-06,B,대체로 양호,,,A,N,서두교,A,,
2005-10-05,2005-10-05,B,대체로 양호,조도기준 미달,,C,N,전도치터널(상),A,,
2005-10-06,2005-10-06,B,대체로 양호,,,A,N,운천3교,A,,
2005-10-06,2005-10-06,B,대체로 양호,,,A,N,경교,A,,
2005-10-04,2005-10-04,A,양호,,,A,N,팔봉1교,A,,
2005-06-14,2005-06-14,B,전반적으로 양호,"포장면 이음부간에 종균열발생,신축이음 고무재변형및파손,강재주형거더 표면부식,도장박리,도장탈락","포장면 절삭후오버레이공법에 의한 보수,신축이음 고무재교체설치,강재주형거더 재도장필요",B,N,통일대교,A,,
2005-09-28,2005-09-28,A,양호,,,A,N,삼성육교,A,,
2005-06-15,2005-06-15,A,전반적으로 양호한상태,,,A,N,다대소교(하),A,,
2005-10-07,2005-10-07,B,대체로 양호,"보강재 도장탈락, 후타재 파손",보강재 재도장 및 후타재 재설치 실시중,B,N,기산교*,A,,
2005-10-07,2005-10-07,B,전반적으로 보강이 이루어져 양호하나 부분적으로 보수필요,"난간 부식, 도장박리상태, 연석부 박리","난간교체 및 재도장,",B,N,옥병교,A,,
2005-10-06,2005-10-06,B,대체로 양호,,,B,N,신진군교,A,,
2000-05-15,2000-05-15,B,양호,,,B,N,용문터널(상),A,,
2004-06-30,2004-06-30,A,양호,,,B,N,도신육교,A,,
2002-10-16,2002-10-16,B,전반적으로양호하나갱구부사면일부낙석위험,갱구부사면일부낙석위험,2003년사면보강예정,C,N,용문터널(상),A,,
2004-06-14,2004-06-14,B,외관상양호,양호,주의관찰,A,N,용문터널(상),A,,
2005-06-13,2005-06-13,B,신축이음(A1) 후타 연결부 포장파손,"A1,2, B1 하부균열 및 백태발생부 하자보수완료",,B,N,희곡육교,A,,
2005-06-20,2005-06-20,B,전반적으로 양호,,,B,N,팔당4터널(하),A,,
2005-06-21,2005-06-21,A,양호,,,A,N,조안IC교,A,,
2005-06-21,2005-06-21,A,양호,,,A,N,복포과선교,A,,
2005-06-21,2005-06-21,A,양호,,,A,N,양수IC교,A,,
2005-06-21,2005-06-21,B,전반적으로 양호,,육안점검,B,N,봉안터널(하),A,,
2005-10-06,2005-10-06,A,양호,,,A,N,신원교,A,,
2005-10-06,2005-10-06,A,양호,,,A,N,옥천교,A,,
2005-11-03,2005-11-03,B,대체적으로 양호,,,B,N,평택호대교,A,,
2005-11-03,2005-11-03,A,양호,,,A,N,숙성라멘교,A,,
2005-11-04,2005-11-04,B,양호,,"교면포장, 강재도장 보수완료",B,N,신대교,A,,
2005-11-04,2005-11-04,A,교면포장 파손 및 박리,,교면 재포장,A,N,신궁2육교,A,,
2005-11-07,2005-11-07,B,양호,,"교면포장 보수완료, 연석부 신축이음 설치완료",A,N,안양교,A,,
2005-11-07,2005-11-07,B,대체적으로 양호,,교면포장 보수완료,B,N,보개교,A,,
2005-11-07,2005-11-07,A,양호,,,A,N,마전2교,A,,
2004-06-25,2004-06-25,C,,,,A,N,흑천교,A,,
2005-07-28,2005-07-28,A,,,,C,N,신곡교,A,,
2005-07-08,2005-07-08,B,대체로양호,"시,종점측 신축이음과 접속포장 이음부위는 망상균열및함몰 부분적 발생,BOX내부 도장부풀음및표면부식상태","시,종점측 신축이음과 포장이음부부위 절삭후 오버레이공법에의한보수,BOX내부는 녹제거후재도장",B,N,통일육교,A,,
2005-07-08,2005-07-08,B,양호,"주형거더 외부측 시공불량으로 인한 도장박리,교대및교각은 균열,받침본체일부하부plate초기부식","주형거더 재도장 요망,교대및교각 표면처리요망,받침본체 하부plate재도장",B,N,백연교,A,,
2005-06-22,2005-06-22,A,양호,,,A,N,덕평2교,A,,
2005-10-07,2005-10-07,B,전반적으로 양호,,,A,N,오빈교*,A,,
2005-06-23,2005-06-23,A,양호,,,A,N,백석육교,A,,
2005-06-23,2005-06-23,A,양호,,,A,N,마룡3교,A,,
2005-10-28,2005-10-28,A,양호,,,A,N,칠곡교,A,,
2005-10-31,2005-10-31,A,양호,,,A,N,장서육교,A,,
2004-06-25,2004-06-25,B,,,,C,N,포천3교,A,,
2004-06-25,2004-06-25,B,,,,A,N,번영교,A,,
2004-06-25,2004-06-25,B,,,,A,N,청학교,A,,
2004-06-25,2004-06-25,B,,,,A,N,문암교,A,,
2002-11-16,2002-11-16,B,양호,미세균열 발생 및 소화기 표시함 노후,,C,N,팔당4터널(상),A,,
2005-02-18,2005-05-18,B,내구성증진을 위해 일부 보수가 필요한 상태.,"후타재균열,볼트부식등",보수보강 제안,A,N,흑천교,A,,
2005-02-18,2005-05-18,B,일부 손상부위 보수후 주의관찰 요망,"교좌면 박리, 교대교각 일부균열, 연석부 균열, 신축이음부 후타재 균열","교좌장치 재설치, 균열보수",B,N,대광교*,A,,
2005-06-24,2005-06-24,B,외관상 대체적으로 양호,낙교방지시설설치로 교량신축거동이 어려움,주의관찰,B,N,우암교,A,,
2005-06-23,2005-06-23,A,양호,,,A,N,봉상1교,A,,
2005-10-06,2005-10-06,A,양호,,,A,N,봉상1교,A,,
2005-10-07,2005-10-07,B,전반적으로 양호,"교대,교각 단면보수필요",하자보수완료,A,N,삼성교(상),A,,
2005-10-07,2005-10-07,A,양호,,,A,N,봉상IC교,A,,
2005-10-07,2005-10-07,A,양호,,,A,N,용두육교,A,,
2005-10-31,2005-10-31,A,라이닝 일부 횡균열,라이닝 일부 횡균열,서울청(평택-이동)준공구간으로 하자보수요청,B,N,양성터널(상),A,,
2004-06-25,2004-06-25,B,,,,B,N,경강교(구),A,,
2003-06-25,2003-06-25,B,,,,C,N,마치교,A,,
2003-06-25,2003-06-25,C,,,,A,N,1대성교,A,,
2004-11-25,2004-11-25,B,대체로양호,상태양호,없음,B,N,남포1교,A,,
2000-11-13,2000-11-13,C,,,,,N,광양육교,A,,
1997-04-08,1997-04-08,C,,,,,N,광양육교,A,,
2002-02-05,2002-02-05,C,,,,,N,광천교,A,,
2001-11-28,2001-11-28,C,,,,,N,괴목3교,A,,
2001-12-19,2001-12-19,C,,,,,N,괴목3교,A,,
2002-05-22,2002-05-22,C,,,,,N,서시2교(상),A,,
2002-11-27,2002-11-27,C,,,,,N,서시2교(상),A,,
2003-05-13,2003-05-13,C,,,,,N,서시1교(상),A,,
2003-10-09,2003-10-09,C,,,,,N,서시교(상),A,,
2003-06-04,2003-06-04,C,,,,,N,서시2교(상),A,,
2003-09-16,2003-09-16,C,,,,,N,서시2교(상),A,,
2001-11-21,2001-11-21,C,,,,,N,선근교(이관),A,,
2002-05-07,2002-05-07,C,,,,,N,선근교(이관),A,,
2002-11-14,2002-11-14,C,,,,,N,선근교(이관),A,,
2000-09-18,2000-09-18,C,,,,,N,정자교,A,,
2003-05-23,2003-05-23,C,,,,,N,제1장산교,A,,
2001-03-19,2001-03-19,C,,,,,N,제2명봉교,A,,
2004-11-29,2004-11-29,B,대체로 양호,,,B,N,우화육교,A,,
2004-11-29,2004-11-29,B,,,,B,N,괴정교(단),A,,
2004-11-22,2004-11-23,A,양호,측면부 미세균열 및 교각부 미세균열,주의 관찰 요망,E,N,진상교,A,,
2004-11-30,2004-11-30,B,대체로 양호,,,C,N,삼락교,A,,
2004-11-30,2004-11-30,B,대체로 양호,,,C,N,신용담교,A,,
2004-11-30,2004-11-30,B,대체로 양호,,,B,N,덕계교,A,,
2004-11-30,2004-11-30,B,대체로 양호,,,B,N,반월교,A,,
2004-11-30,2004-11-30,B,대체로 양호,,,B,N,사정2교,A,,
2004-11-30,2004-11-30,A,양호,,,A,N,양지1교,A,,
2000-03-09,2000-03-09,C,,,,,N,구학교(확),A,,
2001-10-29,2001-10-29,C,,,,,N,소라육교(확),A,,
1996-04-09,1996-04-09,C,,,,,N,송정교(철거),A,,
2003-08-20,2003-08-20,C,,,,,N,죽시교,A,,
2001-07-24,2001-07-24,C,,,,,N,중방교,A,,
2003-09-23,2003-09-23,C,,,,,N,지천교,A,,
1997-09-03,1997-09-03,C,,,,,N,차동교,A,,
2002-05-24,2002-05-24,C,,,,,N,진상교,A,,
2001-06-14,2001-06-14,C,,,,,N,차동교,A,,
2001-10-25,2001-10-25,C,,,,,N,칠량교,A,,
1996-11-21,1996-11-21,C,,,,,N,청단교,A,,
2003-02-17,2003-02-17,C,,,,,N,칠량교,A,,
2002-03-12,2002-03-12,C,,,,,N,초남교,A,,
2002-01-15,2002-01-15,C,,,,,N,태평교,A,,
2001-11-20,2001-11-20,C,,,,,N,하산교(이관),A,,
1996-06-12,1996-06-12,C,,,,,N,하분교,A,,
1999-08-11,1999-08-11,C,,,,,N,현천교,A,,
1999-09-11,1999-09-11,C,,,,,N,현천교,A,,
2001-11-16,2001-11-16,C,,,,,N,호형교,A,,
2003-06-20,2003-06-20,C,,,,,N,화산교,A,,
1999-12-09,1999-12-09,C,,,,,N,황전철도육교(상),A,,
1994-11-10,1994-11-10,C,,전 경간 슬래브 횡방향 미세균열이 다수 발생됨.,,,N,가옥교,A,,
1999-12-17,1999-12-17,C,대체로 양호,,,,N,갈담교,A,,
2000-06-27,2000-06-27,C,,,,,N,갈담교,A,,
1996-07-19,1996-07-19,C,"전경간 슬라브 횡방향 미세균열(0.1~0.2m/m)  /  A1, P1 종방향 미세균열(0.1m/m  L=5M)",,,,N,갈담교,A,,
2002-01-10,2002-01-10,C,,,,,N,갈마육교,A,,
1998-09-10,1998-09-10,C,,,,,N,강진교,A,,
2001-05-15,2001-05-15,C,,,,,N,구고교,A,,
2002-06-11,2002-06-11,C,,,,,N,괴정교(단),A,,
2001-09-18,2001-09-18,C,,,,,N,구룡육교,A,,
2002-11-27,2002-11-27,C,,.교면포장의 균열 및 포트홀 발생,,,N,구룡육교,A,,
2003-01-23,2003-01-23,C,,,,,N,구천교,A,,
2003-08-26,2003-08-26,C,,,,,N,국평교,A,,
2000-09-04,2000-09-04,C,,,,,N,군하교,A,,
1999-06-22,1999-06-22,C,,,,,N,군하육교,A,,
2002-03-27,2002-03-27,C,,,,,N,금농교,A,,
2002-05-23,2002-05-23,C,,,,,N,금지교,A,,
2001-05-15,2001-05-15,C,,,,,N,금평교,A,,
2003-02-19,2003-02-19,C,슬래브 미세균열(0.1m/m),,,,N,남악교(13),A,,
2000-07-20,2000-07-20,C,,,,,N,내오천교,A,,
2002-11-20,2002-11-20,C,,,,,N,대야교(철거),A,,
2003-07-21,2003-07-21,C,,,,,N,대창교,A,,
2000-12-15,2000-12-15,C,,,,,N,동촌교,A,,
2000-04-17,2000-04-17,C,,,,,N,매내교(이관),A,,
1998-06-02,1998-06-02,C,"S1, S2 슬래브 저면 부분적 백태발생",,,,N,명덕교,A,,
1999-07-15,1999-07-15,C,,,,,N,명덕교,A,,
1998-06-15,1998-06-15,C,,,,,N,무주대교,A,,
1999-06-09,1999-06-09,C,,,,,N,무주대교,A,,
2001-12-18,2001-12-18,C,,.외관상 대체로 양호,,,N,반송교,A,,
1997-04-08,1997-04-08,C,,,,,N,반월교,A,,
1998-02-10,1998-02-10,C,교량점검차 점검,,,,N,사정1교,A,,
2001-02-13,2001-02-13,C,,,,,N,사정1교,A,,
2001-06-15,2001-06-15,C,,,,,N,사정1교,A,,
2002-12-13,2002-12-13,C,,,,,N,사정1교,A,,
1999-11-10,1999-11-10,C,,,,,N,사정1교,A,,
2000-06-28,2000-06-28,C,,,,,N,삼가교,A,,
2003-04-18,2003-04-18,C,,,,,N,사정2교,A,,
1997-09-09,1997-09-09,C,,,,,N,반월교,A,,
2003-01-22,2003-01-22,C,,,,,N,방계교(철거),A,,
2003-02-19,2003-02-19,C,,,,,N,방계교(철거),A,,
2001-07-19,2001-07-19,C,,,,,N,반월교,A,,
2001-02-21,2001-02-21,C,,,,,N,배방교,A,,
2002-03-25,2002-03-25,C,,,,,N,배방교,A,,
1998-02-13,1998-02-13,C,,,,,N,배방교,A,,
1997-06-12,1997-06-12,C,슬래브저면 균열,,,,N,백암교,A,,
2003-06-24,2003-06-24,C,,,,,N,백암교,A,,
2003-04-08,2003-04-08,C,,,,,N,황전철도육교(하),A,,
1996-06-05,1996-06-05,C,대체로 양호,,,,N,춘향터널(상),A,,
2001-01-15,2001-01-15,C,,,,,N,춘향터널(상),A,,
1996-07-26,1996-07-26,C,대체로 양호,,,,N,춘향터널(하),A,,
2004-11-11,2004-11-11,B,대체로 양호,,,A,N,구천교,A,,
2004-11-08,2004-11-12,B,양호,후타재미세균열,주의 관찰 요망,E,N,차동교,A,,
2004-05-06,2004-05-06,B,양호,,,D,N,삼수교,A,,
2001-11-15,2001-11-15,C,,,,,N,군계교,A,,
1996-06-07,1996-06-07,C,,,,,N,금곡교,A,,
2002-07-16,2002-07-16,C,,,,,N,나로1대교,A,,
1998-12-08,1998-12-08,C,,,,,N,금곡교,A,,
2000-10-18,2000-10-18,C,,,,,N,금곡교,A,,
2001-03-15,2001-03-15,C,,,,,N,나로1대교,A,,
2002-06-17,2002-06-17,C,,,,,N,송치2교(상),A,,
2001-08-17,2001-08-17,C,,,,,N,송치3교(상),A,,
1998-08-11,1998-08-11,C,,,,,N,수대교,A,,
2001-11-28,2001-11-28,C,,,,,N,송치3교(하),A,,
2001-03-27,2001-03-27,C,측벽 타일  파손,,,,N,춘향터널(하),A,,
1998-10-02,1998-10-02,C,,,,,N,불로치터널,A,,
1996-05-06,1996-05-06,C,,,,,N,불로치터널,A,,
1997-08-01,1997-08-01,C,외관상 대체로 양호,,,,N,불로치터널,A,,
2003-01-27,2003-01-27,C,,,,,N,내초교,A,,
2001-04-12,2001-04-12,C,,,,,N,대곡교(이관),A,,
2002-06-21,2002-06-21,C,,,,,N,대곡교(이관),A,,
2000-01-26,2000-01-26,C,,,,,N,단사교,A,,
2002-04-15,2002-04-15,C,,,,,N,단사교,A,,
2000-12-12,2000-12-12,C,,,,,N,녹원교,A,,
2003-08-05,2003-08-05,C,,,,,N,송치3교(하),A,,
1998-07-09,1998-07-09,C,,,,,N,순지교,A,,
1998-05-25,1998-05-25,C,,,,,N,수문교,A,,
2001-09-27,2001-09-27,C,,,,,N,승주교,A,,
2003-02-27,2003-02-27,C,,,,,N,순지교,A,,
1999-08-11,1999-08-11,C,,,,,N,신도교,A,,
2000-11-23,2000-11-23,C,,,,,N,신도교,A,,
2001-12-11,2001-12-11,C,,,,,N,시목교(이관),A,,
2000-10-19,2000-10-19,C,,,,,N,조금재터널,A,,
1998-09-03,1998-09-03,C,출구측 낙석방지망속 낙석제거요,,,,N,너릿재터널(상),A,,
2001-11-18,2001-11-18,C,,,,,N,너릿재터널(하),A,,
1999-04-17,1999-04-17,C,,,,,N,너릿재터널(하),A,,
2000-11-30,2001-04-17,C,"터널의 안전성 확보, 포장부 균열 및 박리등은 보수 필요",포장부 균열,,,N,너릿재터널(하),A,,
2004-12-16,2004-12-16,B,대체로양호,상태양호,없음,B,N,대창교,A,,
2004-12-21,2004-12-21,B,배수구 길이 부족,.,주의관찰,B,N,원호교(이관)*,A,,
2004-12-21,2004-12-21,B,대체로 양호,.,,B,N,광대교(상),A,,
2003-04-17,2003-04-17,C,,,,,N,단사교,A,,
2003-10-23,2003-10-23,C,,,,,N,대동교(확),A,,
2001-04-21,2001-04-21,C,,,,,N,도산교,A,,
2003-01-07,2003-01-07,C,,,,,N,도산교,A,,
2001-05-23,2001-05-23,C,,,,,N,동막1교,A,,
1998-12-17,1998-12-17,C,,,,,N,신산교(확),A,,
2000-11-28,2000-11-28,C,,,,,N,신안교(이관),A,,
2003-10-14,2003-10-14,C,,,,,N,신호교,A,,
2001-09-10,2001-09-10,C,,,,,N,쌍림2교(확),A,,
2002-03-20,2002-03-20,C,,,,,N,독재터널,A,,
1998-12-18,1998-12-18,C,,,,,N,추월산터널,A,,
1997-10-27,1997-10-27,C,,,,,N,운알터널,A,,
2003-01-17,2003-01-17,C,,,,,N,송치터널(상),A,,
2004-06-09,2004-06-10,B,전반적으로 양호하나 교좌장치 보수요망,교좌장치 유간부족,2005년 보수예정,C,N,봉정교,A,,
2004-07-14,2004-07-15,B,양호,슬래브 미세균열,주의관찰,D,N,장천교,A,,
2004-12-23,2004-12-23,B,대체로 양호,,,B,N,용담교,A,,
2004-12-01,2004-12-31,B,대체로 양호,,,B,N,거산교,A,,
1996-08-30,1996-08-30,C,,,,,N,만년교(이관),A,,
1997-02-24,1997-02-24,C,,,,,N,만년교(이관),A,,
2000-03-27,2000-03-27,C,,,,,N,매산교,A,,
1999-10-15,1999-10-15,C,,,,,N,압록2교,A,,
2000-07-14,2000-07-14,C,,,,,N,압록2교,A,,
1996-07-26,1996-07-26,C,,,,,N,억만교,A,,
1997-12-10,1997-12-10,C,,,,,N,억만교,A,,
2002-11-22,2002-11-22,C,,,,,N,여의천교,A,,
2003-06-20,2003-06-20,C,,,,,N,연봉교(이관),A,,
2000-07-15,2000-07-15,C,,,,,N,밤재터널(상),A,,
2002-04-14,2002-04-14,C,,,,,N,밤재터널(하),A,,
2002-12-20,2002-12-20,B,,,,,,금화교,A,,
2003-04-10,2003-04-10,B,,,,,,대화교,A,,
