점검시행일자,점검종료일자,점검진단결과등급,점검진단결과내용,손상요약내용,조치요약내용,긴급보수도,붕괴유발부재여부,시설물명,안전성평가등급,,
2004-02-27,2004-04-12,A,"교면 포장 파손 균열, 슬라브 미세 균열",균열,보수요망,A,N,문형2교,A,,
1998-04-21,1998-06-13,A,양호,양호,,A,N,강화대교,A,,
2004-06-14,2004-06-25,A,A1.2 누수흔적(외관상 양호),누수,보수요망,A,N,중마교,A,,
2004-06-14,2004-06-25,A,"난간파손(L=1m), Ax접속 슬라브 횡균열",균열,보수요망,A,N,숙성교,A,,
2003-02-12,2003-03-28,B,"슬라브 미세균열 및 백태, 신축이음 파손","미세균열,백태,파손",보수요망,A,N,장평교,A,,
2003-11-17,2003-12-03,A,양호,양호,,A,N,숙성교,A,,
2004-02-17,2004-04-03,B,"슬라브 하면 누수 백태, 교대,교각 균열 및 박리, 조인트 누수, 교면 균열 및 소빙 발생","백태,균열,박리,누수",보수요망,A,N,군문교*,A,,
2003-11-17,2003-12-03,A,양호,양호,,A,N,근곡교,A,,
2000-12-01,2000-12-01,B,,,,B,N,초현교,A,,
2001-12-13,2001-12-13,B,,,,C,N,강화대교,A,,
2003-04-01,2003-04-01,C,부재별 조사결과 경미 손상이 발생한 상태임,부분손상,주의관찰,A,N,오리교,A,,
2003-11-17,2003-12-03,A,양호,양호,,A,N,현덕교,A,,
2003-11-17,2003-12-03,B,신축이음 장치 노후 및 바닥판 슬라브 백태 발생,"노후,백태",보수요망,A,N,추계1교,A,,
2004-06-14,2004-06-25,B,A1.2 신축이음 후타재 균열,균열,보수요망,A,N,매상교,A,,
2003-05-20,2003-06-07,B,양호,양호,,A,N,풍계교,A,,
2003-11-17,2003-12-03,A,양호,양호,,A,N,강천육교,A,,
2003-05-20,2003-06-07,A,양호,양호,,A,N,송문1교,A,,
2003-05-20,2003-06-07,B,양호,양호,,A,N,삼교교*,A,,
2003-11-17,2003-12-03,A,양호,양호,,A,N,궁안교(하),A,,
2003-11-17,2003-12-03,A,양호,양호,,A,N,두창육교,A,,
2003-05-20,2003-06-07,A,양호,양호,,A,N,안양교,A,,
2003-11-22,2003-11-22,B,,,,A,N,쌍학1육교,A,,
2003-11-22,2003-11-22,B,,,,A,N,야목육교,A,,
